<SafeID>,<SafeName>,<LocationID>,<LocationName>,<Size>,<MaxSize>,<%UsedSize>,<LastUsed>,<VirusFree>,<TextOnly>,<AccessLocation>,<SecurityLevel>,<Delay>,<FromHour>,<ToHour>,<DailyVersions>,<MonthlyVersions>,<YearlyVersions>,<LogRetentionPeriod>,<ObjectsRetentionPeriod>,<RequestRetentionPeriod>,<ShareOptions>,<ConfirmersCount>,<ConfirmType>,<DefaultAccessMarks>,<DefaultFileCompression>,<DefaultReadOnly>,<QuotaOwner>,<UseFileCategories>,<RequireReasonToRetrieve>,<EnforceExlusivePasswords>,<RequireContentValidation>,<CreationDate>,<CreatedBy>,<NumberOfPasswordVersions>
0,"System",0,"\",0,,,"6/18/2014 12:00:18 AM","NO","NO",,,,,,,,,,,,,,,,"","","","","","","","","",""
1,"Pictures",0,"\",0,,,"6/18/2014 12:00:18 AM","NO","NO",,,,,,,,,,,,,,,,"","","","","","","","","",""
2,"VaultInternal",0,"\",18,50,0,"6/18/2014 5:31:00 PM","NO","NO",7,56,0,0,24,0,0,0,90,30,30,5,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/15/2014 9:34:38 PM","Administrator","-1"
3,"Notification Engine",0,"\",101,50,0,"6/18/2014 5:36:18 PM","NO","NO",7,56,0,0,24,0,0,0,90,30,30,5,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/15/2014 9:34:43 PM","Administrator","-1"
4,"PasswordManager",0,"\",435,50,0,"6/18/2014 5:26:31 PM","NO","NO",7,56,0,0,24,0,0,0,14,5,30,5,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/16/2014 1:57:04 AM","Administrator","-1"
5,"PasswordManager_workspace",0,"\",0,50,0,"6/18/2014 5:15:17 PM","NO","NO",7,56,0,0,24,0,0,0,1,0,1,0,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/16/2014 1:57:04 AM","Administrator","-1"
6,"PasswordManager_ADInternal",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,1,0,1,0,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/16/2014 1:57:04 AM","Administrator","-1"
7,"PasswordManager_info",0,"\",3,50,0,"6/18/2014 5:16:38 PM","NO","NO",7,56,0,0,24,0,0,0,14,5,30,5,0,0,7,"NO","NO","Administrator","YES","NO","NO","NO","5/16/2014 1:57:04 AM","Administrator","-1"
8,"PVWAUserPrefs",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,5,0,0,0,"YES","NO","Administrator","NO","NO","NO","NO","5/16/2014 2:06:08 AM","Administrator","-1"
9,"PVWAConfig",0,"\",43,50,0,"6/18/2014 5:25:58 PM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,5,0,0,0,"YES","NO","Administrator","NO","NO","NO","NO","5/16/2014 2:06:08 AM","Administrator","-1"
10,"PVWAReports",0,"\",0,51200,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,30,0,5,0,0,0,"YES","NO","Administrator","YES","NO","NO","NO","5/16/2014 2:06:10 AM","Administrator","-1"
11,"PVWATicketingSystem",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,5,0,0,7,"YES","NO","Administrator","YES","NO","NO","NO","5/16/2014 2:06:10 AM","Administrator","-1"
12,"PVWATaskDefinitions",0,"\",0,5,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,30,0,5,0,0,7,"YES","NO","Administrator","YES","NO","NO","NO","5/16/2014 2:06:11 AM","Administrator","-1"
13,"PVWAPrivateUserPrefs",0,"\",32,1024,0,"6/18/2014 5:26:50 PM","NO","NO",7,56,0,0,24,0,0,0,3,3,3,0,0,0,0,"YES","NO","Administrator","YES","NO","NO","NO","5/16/2014 2:06:11 AM","Administrator","-1"
14,"PVWAPublicData",0,"\",14688,100,14,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,30,7,1,5,0,0,0,"YES","NO","Administrator","YES","NO","NO","NO","5/16/2014 2:06:12 AM","Administrator","-1"
16,"Safename1",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,0,0,0,7,"YES","NO","BAOTESTADMIN","YES","NO","NO","NO","5/20/2014 5:21:54 AM","BAOTESTADMIN","-1"
17,"Safename2",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,0,1,1,7,"YES","NO","BAOTESTADMIN","YES","NO","NO","NO","5/20/2014 5:28:34 AM","BAOTESTADMIN","-1"
18,"Safename3",0,"\",0,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,0,0,0,7,"YES","NO","BAOTESTADMIN","YES","NO","NO","NO","5/20/2014 6:54:44 AM","BAOTESTADMIN","-1"
22,"enunez-testsafe2",0,"\",5,50,0,"6/18/2014 12:00:19 AM","NO","NO",7,56,0,0,24,0,0,0,90,7,30,7,0,0,7,"YES","NO","BAOTESTADMIN","YES","NO","NO","NO","5/20/2014 8:25:48 PM","BAOTESTADMIN","-1"
