<SafeID>,<SafeName>,<OwnerID>,<OwnerName>,<OwnerType>,<ExpirationDate>,<List>,<Retrieve>,<CreateObject>,<UpdateObject>,<UpdateObjectProperties>,<RenameObject>,<Delete>,<ViewAudit>,<ViewOwners>,<UsePassword>,<InitiateCPMChange>,<InitiateCPMChangeWithManualPassword>,<CreateFolder>,<DeleteFolder>,<UnlockObject>,<MoveFrom>,<MoveInto>,<ManageSafe>,<ManageSafeOwners>,<ValidateSafeContent>,<Backup>,<NoConfirmRequired>,<Confirm>,<EventsList>,<EventsAdd>
2,"VaultInternal",2,"Administrator",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
2,"VaultInternal",0,"Master",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES"
2,"VaultInternal",5,"Batch",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES"
2,"VaultInternal",7,"Backup Users",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
2,"VaultInternal",8,"Auditors",1,"","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
2,"VaultInternal",9,"Operators",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","NO","NO","NO","YES"
2,"VaultInternal",10,"DR Users",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
2,"VaultInternal",12,"Notification Engines",1,"","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
2,"VaultInternal",11,"Vault Admins",1,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
2,"VaultInternal",19,"PVWAGWAccounts",1,"","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
3,"Notification Engine",2,"Administrator",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
3,"Notification Engine",0,"Master",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES"
3,"Notification Engine",5,"Batch",0,"","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES"
3,"Notification Engine",7,"Backup Users",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
3,"Notification Engine",8,"Auditors",1,"","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
3,"Notification Engine",9,"Operators",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","YES","NO","NO","NO","NO","NO","NO","YES"
3,"Notification Engine",10,"DR Users",1,"","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES"
