Source IP,Destination IP,Destination Port
10.0.112.183,10.5.76.230,389
10.0.112.87,10.5.76.230,389
10.0.118.150,10.5.76.209,389
10.0.118.154,10.5.76.209,389
10.0.118.157,10.5.76.230,389
10.0.118.195,10.5.76.194,389
10.0.118.210,10.5.76.230,389
10.0.118.218,10.5.76.230,389
10.0.118.223,10.5.76.209,389
10.0.119.145,10.5.76.194,389
10.0.119.175,10.5.76.209,389
10.0.119.225,10.5.76.135,389
10.0.119.237,10.5.76.134,389
10.0.119.87,10.5.76.194,389
10.0.128.45,10.5.76.135,389
10.0.130.32,10.5.76.230,389
10.0.130.50,10.5.76.134,389
10.0.130.56,10.5.76.230,389
10.0.192.13,10.5.76.194,389
10.0.192.14,10.5.76.209,389
10.0.192.16,10.5.76.135,389
10.0.192.17,10.5.76.134,389
10.0.192.28,10.5.76.209,389
10.0.192.30,10.5.76.230,389
10.0.192.31,10.5.76.209,389
10.0.192.43,10.5.76.209,389
10.0.192.45,10.5.76.135,389
10.0.193.110,10.5.76.194,389
10.0.193.143,10.5.76.134,389
10.0.193.180,10.5.76.135,389
10.0.193.97,10.5.76.230,389
10.0.240.101,10.5.76.194,389
10.0.240.126,10.5.76.134,389
10.0.240.130,10.5.76.230,389
10.0.240.145,10.5.76.230,389
10.0.240.151,10.5.76.135,389
10.0.240.156,10.5.76.209,389
10.0.240.164,10.5.76.209,389
10.0.240.165,10.5.76.230,389
10.0.240.166,10.5.76.230,389
10.0.240.167,10.5.76.209,389
10.0.240.175,10.5.76.135,389
10.0.240.180,10.5.76.135,389
10.0.240.182,10.5.76.230,389
10.0.240.210,10.5.76.209,389
10.0.240.219,10.5.76.134,389
10.0.240.231,10.5.76.134,389
10.0.240.235,10.5.76.134,389
10.0.240.249,10.5.76.230,389
10.0.240.252,10.5.76.230,389
10.0.240.83,10.5.76.230,389
10.0.240.88,10.5.76.209,389
10.0.240.92,10.5.76.209,389
10.0.241.10,10.5.76.209,389
10.0.241.100,10.5.76.230,389
10.0.241.105,10.5.76.230,389
10.0.241.110,10.5.76.230,389
10.0.241.135,10.5.76.135,389
10.0.241.14,10.5.76.135,389
10.0.241.140,10.5.76.135,389
10.0.241.143,10.5.76.135,389
10.0.241.16,10.5.76.194,389
10.0.241.163,10.5.76.134,389
10.0.241.17,10.5.76.230,389
10.0.241.173,10.5.76.230,389
10.0.241.183,10.30.192.33,389
10.0.241.213,10.5.76.135,389
10.0.241.238,10.5.76.134,389
10.0.241.246,10.5.76.194,389
